,trip_date,city,trip_count
0,2017-01-01,boston,481
1,2017-01-01,nyc,16281
2,2017-01-02,boston,802
3,2017-01-02,nyc,9065
4,2017-01-03,boston,651
5,2017-01-03,nyc,14546
6,2017-01-04,nyc,34673
7,2017-01-04,boston,1534
8,2017-01-05,nyc,28945
9,2017-01-05,boston,1330
10,2017-01-06,boston,836
11,2017-01-06,nyc,24612
12,2017-01-07,boston,106
13,2017-01-07,nyc,4497
14,2017-01-08,nyc,6522
15,2017-01-08,boston,111
16,2017-01-09,boston,392
17,2017-01-09,nyc,16174
18,2017-01-10,boston,469
19,2017-01-10,nyc,23637
20,2017-01-11,nyc,32988
21,2017-01-11,boston,773
22,2017-01-12,boston,763
23,2017-01-12,nyc,40438
24,2017-01-13,boston,686
25,2017-01-13,nyc,34212
26,2017-01-14,nyc,14054
27,2017-01-14,boston,336
28,2017-01-15,nyc,17668
29,2017-01-15,boston,395
30,2017-01-16,nyc,24545
31,2017-01-16,boston,486
32,2017-01-17,nyc,19039
33,2017-01-17,boston,665
34,2017-01-18,boston,379
35,2017-01-18,nyc,31411
36,2017-01-19,nyc,37163
37,2017-01-19,boston,798
38,2017-01-20,nyc,27275
39,2017-01-20,boston,717
40,2017-01-21,boston,726
41,2017-01-21,nyc,27016
42,2017-01-22,boston,401
43,2017-01-22,nyc,20879
44,2017-01-23,boston,532
45,2017-01-23,nyc,16092
46,2017-01-24,nyc,13431
47,2017-01-24,boston,363
48,2017-01-25,boston,773
49,2017-01-25,nyc,37571
50,2017-01-26,nyc,33578
51,2017-01-26,boston,820
52,2017-01-27,nyc,32971
53,2017-01-27,boston,837
54,2017-01-28,boston,478
55,2017-01-28,nyc,21627
56,2017-01-29,boston,518
57,2017-01-29,nyc,22870
58,2017-01-30,nyc,30169
59,2017-01-30,boston,763
60,2017-01-31,nyc,25653
61,2017-01-31,boston,597
62,2017-02-01,boston,690
63,2017-02-01,nyc,35790
64,2017-02-02,boston,775
65,2017-02-02,nyc,35097
66,2017-02-03,boston,723
67,2017-02-03,nyc,30196
68,2017-02-04,nyc,19582
69,2017-02-04,boston,427
70,2017-02-05,boston,416
71,2017-02-05,nyc,20384
72,2017-02-06,boston,771
73,2017-02-06,nyc,34030
74,2017-02-07,nyc,23531
75,2017-02-07,boston,409
76,2017-02-08,boston,807
77,2017-02-08,nyc,41127
78,2017-02-09,boston,84
79,2017-02-10,boston,143
80,2017-02-10,nyc,2049
81,2017-02-11,nyc,9169
82,2017-02-11,boston,188
83,2017-02-12,boston,63
84,2017-02-12,nyc,5876
85,2017-02-13,boston,38
86,2017-02-13,nyc,24181
87,2017-02-14,boston,530
88,2017-02-14,nyc,30222
89,2017-02-15,boston,591
90,2017-02-15,nyc,32572
91,2017-02-16,nyc,29670
92,2017-02-16,boston,607
93,2017-02-17,nyc,29233
94,2017-02-17,boston,673
95,2017-02-18,boston,497
96,2017-02-18,nyc,31072
97,2017-02-19,boston,613
98,2017-02-19,nyc,37616
99,2017-02-20,nyc,32863
100,2017-02-20,boston,635
101,2017-02-21,boston,784
102,2017-02-21,nyc,33271
103,2017-02-22,nyc,38803
104,2017-02-22,boston,983
105,2017-02-23,boston,1094
106,2017-02-23,nyc,43153
107,2017-02-24,boston,1143
108,2017-02-24,nyc,47791
109,2017-02-25,nyc,33997
110,2017-02-25,boston,909
111,2017-02-26,boston,596
112,2017-02-26,nyc,25130
113,2017-02-27,nyc,36673
114,2017-02-27,boston,957
115,2017-02-28,nyc,42595
116,2017-02-28,boston,1126
117,2017-03-01,boston,1164
118,2017-03-01,nyc,41350
119,2017-03-02,boston,1043
120,2017-03-02,nyc,36393
121,2017-03-03,boston,897
122,2017-03-03,nyc,31709
123,2017-03-04,boston,337
124,2017-03-04,nyc,15908
125,2017-03-05,boston,389
126,2017-03-05,nyc,16214
127,2017-03-06,nyc,33088
128,2017-03-06,boston,1030
129,2017-03-07,nyc,30239
130,2017-03-07,boston,991
131,2017-03-08,nyc,44202
132,2017-03-08,boston,1465
133,2017-03-09,boston,1469
134,2017-03-09,nyc,45972
135,2017-03-10,boston,637
136,2017-03-10,nyc,18731
137,2017-03-11,boston,316
138,2017-03-11,nyc,15446
139,2017-03-12,nyc,13688
140,2017-03-12,boston,351
141,2017-03-13,nyc,27887
142,2017-03-13,boston,1005
143,2017-03-14,boston,77
144,2017-03-15,boston,197
145,2017-03-16,boston,878
146,2017-03-17,boston,1076
147,2017-03-17,nyc,7099
148,2017-03-18,boston,687
149,2017-03-18,nyc,4137
150,2017-03-19,boston,562
151,2017-03-19,nyc,10653
152,2017-03-20,boston,1586
153,2017-03-20,nyc,27722
154,2017-03-21,nyc,37452
155,2017-03-21,boston,1955
156,2017-03-22,boston,1411
157,2017-03-22,nyc,27396
158,2017-03-23,nyc,30428
159,2017-03-23,boston,1398
160,2017-03-24,boston,1437
161,2017-03-24,nyc,34602
162,2017-03-25,boston,728
163,2017-03-25,nyc,30129
164,2017-03-26,nyc,20201
165,2017-03-26,boston,906
166,2017-03-27,boston,1051
167,2017-03-27,nyc,26727
168,2017-03-28,boston,1292
169,2017-03-28,nyc,21960
170,2017-03-29,boston,1764
171,2017-03-29,nyc,43057
172,2017-03-30,boston,2174
173,2017-03-30,nyc,40368
174,2017-03-31,nyc,7108
175,2017-03-31,boston,980
176,2017-04-01,boston,224
177,2017-04-01,nyc,24205
178,2017-04-02,nyc,40397
179,2017-04-02,boston,1440
180,2017-04-03,nyc,44111
181,2017-04-03,boston,2943
182,2017-04-04,boston,669
183,2017-04-04,nyc,30505
184,2017-04-05,boston,2360
185,2017-04-05,nyc,48355
186,2017-04-06,boston,1121
187,2017-04-06,nyc,18355
188,2017-04-07,nyc,36387
189,2017-04-07,boston,2819
190,2017-04-08,boston,1756
191,2017-04-08,nyc,36478
192,2017-04-09,nyc,44651
193,2017-04-09,boston,3565
194,2017-04-10,nyc,51234
195,2017-04-10,boston,4526
196,2017-04-11,boston,5171
197,2017-04-11,nyc,58221
198,2017-04-12,boston,4196
199,2017-04-12,nyc,52005
200,2017-04-13,nyc,53692
201,2017-04-13,boston,4389
202,2017-04-14,boston,4693
203,2017-04-14,nyc,53025
204,2017-04-15,boston,4251
205,2017-04-15,nyc,43149
206,2017-04-16,boston,4984
207,2017-04-16,nyc,49080
208,2017-04-17,boston,4972
209,2017-04-17,nyc,54128
210,2017-04-18,nyc,54631
211,2017-04-18,boston,4270
212,2017-04-19,nyc,46567
213,2017-04-19,boston,3693
214,2017-04-20,boston,4038
215,2017-04-20,nyc,44958
216,2017-04-21,boston,1064
217,2017-04-21,nyc,40514
218,2017-04-22,nyc,35214
219,2017-04-22,boston,1930
220,2017-04-23,boston,3891
221,2017-04-23,nyc,49769
222,2017-04-24,nyc,49490
223,2017-04-24,boston,4866
224,2017-04-25,nyc,20722
225,2017-04-25,boston,1950
226,2017-04-26,boston,2168
227,2017-04-26,nyc,38393
228,2017-04-27,nyc,52857
229,2017-04-27,boston,4843
230,2017-04-28,nyc,63203
231,2017-04-28,boston,5320
232,2017-04-29,boston,5263
233,2017-04-29,nyc,58669
234,2017-04-30,nyc,43625
235,2017-04-30,boston,2485
236,2017-05-01,boston,3949
237,2017-05-01,nyc,57266
238,2017-05-02,boston,4233
239,2017-05-02,nyc,62141
240,2017-05-03,boston,5056
241,2017-05-03,nyc,60241
242,2017-05-04,nyc,58395
243,2017-05-04,boston,5231
244,2017-05-05,boston,2202
245,2017-05-05,nyc,24511
246,2017-05-06,nyc,47382
247,2017-05-06,boston,2403
248,2017-05-07,nyc,34803
249,2017-05-07,boston,3671
250,2017-05-08,boston,4207
251,2017-05-08,nyc,52441
252,2017-05-09,boston,4428
253,2017-05-09,nyc,57485
254,2017-05-10,nyc,59415
255,2017-05-10,boston,4973
256,2017-05-11,boston,4881
257,2017-05-11,nyc,58224
258,2017-05-12,nyc,57636
259,2017-05-12,boston,4128
260,2017-05-13,nyc,5799
261,2017-05-13,boston,2844
262,2017-05-14,boston,843
263,2017-05-14,nyc,39376
264,2017-05-15,boston,3574
265,2017-05-15,nyc,55705
266,2017-05-16,boston,5929
267,2017-05-16,nyc,65670
268,2017-05-17,nyc,66848
269,2017-05-17,boston,5912
270,2017-05-18,boston,5390
271,2017-05-18,nyc,64730
272,2017-05-19,nyc,63145
273,2017-05-19,boston,5569
274,2017-05-20,nyc,48653
275,2017-05-20,boston,4457
276,2017-05-21,nyc,55747
277,2017-05-21,boston,4413
278,2017-05-22,boston,3048
279,2017-05-22,nyc,25097
280,2017-05-23,boston,5440
281,2017-05-23,nyc,61145
282,2017-05-24,boston,5692
283,2017-05-24,nyc,61646
284,2017-05-25,nyc,17907
285,2017-05-25,boston,2047
286,2017-05-26,boston,3150
287,2017-05-26,nyc,54726
288,2017-05-27,boston,4205
289,2017-05-27,nyc,47251
290,2017-05-28,boston,4451
291,2017-05-28,nyc,47447
292,2017-05-29,boston,1590
293,2017-05-29,nyc,26773
294,2017-05-30,nyc,51117
295,2017-05-30,boston,4767
296,2017-05-31,boston,5211
297,2017-05-31,nyc,60512
298,2017-06-01,boston,5759
299,2017-06-01,nyc,68642
300,2017-06-02,nyc,68089
301,2017-06-02,boston,5614
302,2017-06-03,nyc,57161
303,2017-06-03,boston,3822
304,2017-06-04,nyc,40868
305,2017-06-04,boston,3732
306,2017-06-05,boston,2400
307,2017-06-05,nyc,56884
308,2017-06-06,boston,1634
309,2017-06-06,nyc,42116
310,2017-06-07,boston,5553
311,2017-06-07,nyc,65606
312,2017-06-08,nyc,63809
313,2017-06-08,boston,6232
314,2017-06-09,nyc,67696
315,2017-06-09,boston,6362
316,2017-06-10,boston,5380
317,2017-06-10,nyc,58066
318,2017-06-11,boston,4784
319,2017-06-11,nyc,52318
320,2017-06-12,boston,5875
321,2017-06-12,nyc,59037
322,2017-06-13,boston,5677
323,2017-06-13,nyc,62056
324,2017-06-14,nyc,61574
325,2017-06-14,boston,6548
326,2017-06-15,nyc,65970
327,2017-06-15,boston,6674
328,2017-06-16,boston,3810
329,2017-06-16,nyc,57443
330,2017-06-17,nyc,35537
331,2017-06-17,boston,4483
332,2017-06-18,nyc,50293
333,2017-06-18,boston,4787
334,2017-06-19,nyc,39117
335,2017-06-19,boston,5890
336,2017-06-20,boston,6038
337,2017-06-20,nyc,65892
338,2017-06-21,boston,6714
339,2017-06-21,nyc,68417
340,2017-06-22,boston,6727
341,2017-06-22,nyc,67596
342,2017-06-23,boston,6393
343,2017-06-23,nyc,56438
344,2017-06-24,nyc,53068
345,2017-06-24,boston,4711
346,2017-06-25,nyc,55608
347,2017-06-25,boston,5069
348,2017-06-26,boston,6434
349,2017-06-26,nyc,63903
350,2017-06-27,boston,5620
351,2017-06-27,nyc,66034
352,2017-06-28,boston,6957
353,2017-06-28,nyc,69041
354,2017-06-28,sf,632
355,2017-06-29,nyc,65564
356,2017-06-29,boston,6619
357,2017-06-29,sf,1019
358,2017-06-30,sf,1038
359,2017-06-30,boston,5612
360,2017-06-30,nyc,59811
361,2017-07-01,boston,4550
362,2017-07-01,nyc,37398
363,2017-07-01,sf,475
364,2017-07-02,sf,523
365,2017-07-02,nyc,43800
366,2017-07-02,boston,4690
367,2017-07-03,boston,5483
368,2017-07-03,nyc,49118
369,2017-07-03,sf,600
370,2017-07-04,nyc,50919
371,2017-07-04,boston,5784
372,2017-07-04,sf,558
373,2017-07-05,nyc,61501
374,2017-07-05,boston,6483
375,2017-07-05,sf,1103
376,2017-07-06,sf,1277
377,2017-07-06,boston,6865
378,2017-07-06,nyc,63408
379,2017-07-07,boston,4026
380,2017-07-07,nyc,44960
381,2017-07-07,sf,1126
382,2017-07-08,sf,659
383,2017-07-08,boston,4269
384,2017-07-08,nyc,55996
385,2017-07-09,nyc,58133
386,2017-07-09,boston,5426
387,2017-07-09,sf,433
388,2017-07-10,nyc,62112
389,2017-07-10,boston,6496
390,2017-07-10,sf,1347
391,2017-07-11,sf,1506
392,2017-07-11,nyc,62930
393,2017-07-11,boston,5309
394,2017-07-12,sf,1556
395,2017-07-12,boston,5472
396,2017-07-12,nyc,63021
397,2017-07-13,nyc,57627
398,2017-07-13,boston,5037
399,2017-07-13,sf,1691
400,2017-07-14,boston,6164
401,2017-07-14,nyc,32574
402,2017-07-14,sf,1628
403,2017-07-15,sf,1086
404,2017-07-15,nyc,57446
405,2017-07-15,boston,5586
406,2017-07-16,boston,5245
407,2017-07-16,sf,955
408,2017-07-16,nyc,57892
409,2017-07-17,nyc,63812
410,2017-07-17,boston,6527
411,2017-07-17,sf,1735
412,2017-07-18,nyc,67529
413,2017-07-18,boston,6237
414,2017-07-18,sf,1877
415,2017-07-19,boston,6495
416,2017-07-19,nyc,65175
417,2017-07-19,sf,1995
418,2017-07-20,boston,6481
419,2017-07-20,sf,1938
420,2017-07-20,nyc,60897
421,2017-07-21,sf,1975
422,2017-07-21,boston,6637
423,2017-07-21,nyc,61301
424,2017-07-22,boston,5406
425,2017-07-22,sf,1449
426,2017-07-22,nyc,48873
427,2017-07-23,sf,1190
428,2017-07-23,nyc,47779
429,2017-07-23,boston,5489
430,2017-07-24,sf,2131
431,2017-07-24,nyc,44702
432,2017-07-24,boston,1859
433,2017-07-25,boston,5870
434,2017-07-25,nyc,66620
435,2017-07-25,sf,2066
436,2017-07-26,boston,7409
437,2017-07-26,nyc,71672
438,2017-07-26,sf,2249
439,2017-07-27,boston,5310
440,2017-07-27,nyc,67066
441,2017-07-27,sf,2112
442,2017-07-28,nyc,65089
443,2017-07-28,sf,2082
444,2017-07-28,boston,7097
445,2017-07-29,boston,5485
446,2017-07-29,sf,1333
447,2017-07-29,nyc,53897
448,2017-07-30,nyc,60402
449,2017-07-30,sf,1278
450,2017-07-30,boston,5707
451,2017-07-31,nyc,65523
