,city,start_station_name,end_station_name,trip_count,distance
0,boston,MIT at Mass Ave / Amherst St,Beacon St at Massachusetts Ave,17793,0.53111453001833
1,boston,Beacon St at Massachusetts Ave,MIT at Mass Ave / Amherst St,17701,0.53111453001833
2,boston,MIT Pacific St at Purrington St,MIT Stata Center at Vassar St / Main St,16945,0.5445602892846759
3,boston,MIT at Mass Ave / Amherst St,MIT Vassar St,16841,0.5765549706280725
4,boston,MIT Stata Center at Vassar St / Main St,MIT Pacific St at Purrington St,15436,0.5445602892846759
5,boston,MIT Vassar St,MIT Stata Center at Vassar St / Main St,15416,0.7882603467139909
6,boston,MIT Vassar St,MIT at Mass Ave / Amherst St,14312,0.5765549706280725
7,boston,MIT Pacific St at Purrington St,Ames St at Main St,13255,0.6991073076261036
8,boston,Central Square at Mass Ave / Essex St,MIT Pacific St at Purrington St,13214,0.39049186671107994
9,boston,MIT at Mass Ave / Amherst St,Central Square at Mass Ave / Essex St,13077,0.69882658533206
10,boston,MIT Stata Center at Vassar St / Main St,MIT Vassar St,12156,0.7882603467139909
11,boston,MIT Pacific St at Purrington St,MIT at Mass Ave / Amherst St,11942,0.42677032420286914
12,boston,MIT Vassar St,Ames St at Main St,11828,0.9352539383894336
13,boston,Linear Park - Mass. Ave. at Cameron Ave. ,Davis Square,11063,0.38784580695772825
14,boston,MIT Pacific St at Purrington St,Central Square at Mass Ave / Essex St,10958,0.39049186671107994
15,boston,Davis Square,Linear Park - Mass. Ave. at Cameron Ave. ,10689,0.38784580695772825
16,boston,MIT at Mass Ave / Amherst St,MIT Pacific St at Purrington St,10302,0.42677032420286914
17,boston,Murphy Skating Rink - 1880 Day Blvd,Murphy Skating Rink - 1880 Day Blvd,9803,0.0
18,boston,Ames St at Main St,MIT Pacific St at Purrington St,9738,0.6991073076261036
19,boston,MIT Pacific St at Purrington St,Kendall T,9676,0.8593241077574523
20,boston,Central Square at Mass Ave / Essex St,MIT at Mass Ave / Amherst St,9514,0.69882658533206
21,boston,MIT Stata Center at Vassar St / Main St,Central Square at Mass Ave / Essex St,8932,0.6479165393500252
22,boston,Kendall T,MIT Pacific St at Purrington St,8809,0.8593241077574523
23,boston,Ames St at Main St,MIT Vassar St,8271,0.9352539383894336
24,boston,Kendall T,MIT at Mass Ave / Amherst St,7901,0.5170012189307064
25,boston,MIT at Mass Ave / Amherst St,MIT at Mass Ave / Amherst St,7809,0.0
26,boston,Central Square at Mass Ave / Essex St,MIT Vassar St,7761,0.6549845426511491
27,boston,Mugar Way at Beacon St,Mugar Way at Beacon St,7488,0.0
28,boston,Charles Circle - Charles St at Cambridge St,Charles Circle - Charles St at Cambridge St,7408,0.0
29,boston,Harvard University River Houses at DeWolfe St / Cowperthwaite St,Harvard University River Houses at DeWolfe St / Cowperthwaite St,7209,0.0
30,boston,MIT Vassar St,Kendall T,7029,1.0802880661323997
31,boston,Ames St at Main St,Central Square at Mass Ave / Essex St,6972,0.7820433284532837
32,boston,Community Path at Cedar Street,Grove St at Community Path,6963,0.4761200895185558
33,boston,MIT at Mass Ave / Amherst St,Kendall T,6865,0.5170012189307064
34,boston,Kendall T,MIT Vassar St,6759,1.0802880661323997
35,boston,MIT Vassar St,Central Square at Mass Ave / Essex St,6757,0.6549845426511491
36,boston,Roxbury Crossing T Stop - Columbus Ave at Tremont St,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,6750,0.5139376242795788
37,boston,MIT Stata Center at Vassar St / Main St,MIT at Mass Ave / Amherst St,6731,0.286338514939807
38,boston,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,Roxbury Crossing T Stop - Columbus Ave at Tremont St,6723,0.5139376242795788
39,boston,MIT at Mass Ave / Amherst St,MIT Stata Center at Vassar St / Main St,6637,0.286338514939807
40,boston,MIT at Mass Ave / Amherst St,Ames St at Main St,6535,0.3964420007759083
41,boston,South Station - 700 Atlantic Ave,Lewis Wharf at Atlantic Ave,6433,0.8419358650479037
42,boston,Ames St at Main St,MIT at Mass Ave / Amherst St,6290,0.3964420007759083
43,boston,Grove St at Community Path,Community Path at Cedar Street,6115,0.4761200895185558
44,boston,Harvard Square at Mass Ave/ Dunster,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,5952,0.5884872633393824
45,boston,B.U. Central - 725 Comm. Ave.,Packard's Corner - Commonwealth Ave at Brighton Ave,5915,0.8064432536567628
46,boston,Coolidge Corner - Beacon St at Centre St,Longwood Ave at Binney St,5828,0.8862254949957853
47,boston,Airport T Stop - Bremen St at Brooks St,Airport T Stop - Bremen St at Brooks St,5750,0.0
48,boston,Christian Science Plaza - Massachusetts Ave at Westland Ave,Christian Science Plaza - Massachusetts Ave at Westland Ave,5722,0.0
49,boston,South Station - 700 Atlantic Ave,Aquarium T Stop - 200 Atlantic Ave,5716,0.565007917850559
50,boston,MIT at Mass Ave / Amherst St,Harvard Square at Mass Ave/ Dunster,5651,1.668474130900278
51,boston,Central Square at Mass Ave / Essex St,Ames St at Main St,5559,0.7820433284532837
52,boston,Beacon St at Massachusetts Ave,Beacon St at Massachusetts Ave,5558,0.0
53,boston,MIT Pacific St at Purrington St,MIT Pacific St at Purrington St,5429,0.0
54,boston,One Kendall Square at Hampshire St / Portland St,Kendall T,5395,0.43524620090353006
55,boston,Central Square at Mass Ave / Essex St,Harvard Square at Mass Ave/ Dunster,5264,0.9735729526644725
56,boston,Lafayette Square at Mass Ave / Main St / Columbia St,MIT at Mass Ave / Amherst St,5218,0.5288102388166487
57,boston,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Harvard Square at Mass Ave/ Dunster,5172,0.5884872633393824
58,boston,Central Square at Mass Ave / Essex St,Lower Cambridgeport at Magazine St / Riverside Rd,5106,0.7731197681921608
59,boston,Lower Cambridgeport at Magazine St / Riverside Rd,MIT Vassar St,5090,0.5202994059523514
60,boston,Lewis Wharf at Atlantic Ave,South Station - 700 Atlantic Ave,5032,0.8419358650479037
61,boston,Kendall T,Central Square at Mass Ave / Essex St,5008,0.9465330448980445
62,boston,Harvard Square at Mass Ave/ Dunster,Harvard Square at Mass Ave/ Dunster,4996,0.0
63,boston,Central Square at Mass Ave / Essex St,MIT Stata Center at Vassar St / Main St,4942,0.6479165393500252
64,boston,Lewis Wharf at Atlantic Ave,Lewis Wharf at Atlantic Ave,4916,0.0
65,boston,Washington St at Rutland St,Back Bay T Stop - Dartmouth St at Stuart St,4883,0.6724063019435237
66,boston,Harvard Square at Mass Ave/ Dunster,MIT at Mass Ave / Amherst St,4802,1.668474130900278
67,boston,Lower Cambridgeport at Magazine St / Riverside Rd,MIT Pacific St at Purrington St,4780,0.6640224523006077
68,boston,Commonwealth Ave at Agganis Way,Packard's Corner - Commonwealth Ave at Brighton Ave,4779,0.24866451228645123
69,boston,Kendall T,One Kendall Square at Hampshire St / Portland St,4766,0.43524620090353006
70,boston,Seaport Blvd at Sleeper St,Lewis Wharf at Atlantic Ave,4736,0.7509094794037775
71,boston,University Park,MIT at Mass Ave / Amherst St,4721,0.4711172131006244
72,boston,B.U. Central - 725 Comm. Ave.,Commonwealth Ave at Agganis Way,4681,0.5577788509937021
73,boston,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,MIT at Mass Ave / Amherst St,4680,0.8523345216830567
74,boston,Packard's Corner - Commonwealth Ave at Brighton Ave,B.U. Central - 725 Comm. Ave.,4647,0.8064432536567628
75,boston,Farragut Rd at E. 6th St,Farragut Rd at E. 6th St,4592,0.0
76,boston,Central Square at Mass Ave / Essex St,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,4549,0.5788569802615947
77,boston,Lewis Wharf at Atlantic Ave,Seaport Blvd at Sleeper St,4514,0.7509094794037775
78,boston,South Station - 700 Atlantic Ave,Nashua Street at Red Auerbach Way,4495,1.032988689803779
79,boston,MIT at Mass Ave / Amherst St,University Park,4493,0.4711172131006244
80,boston,MIT Vassar St,MIT Vassar St,4426,0.0
81,boston,Seaport Blvd at Sleeper St,Cross St at Hanover St,4260,0.7780408718624181
82,boston,South Station - 700 Atlantic Ave,Seaport Square - Seaport Blvd at Northern Ave,4215,0.5958114625882711
83,boston,Mass Ave at Albany St,Central Square at Mass Ave / Essex St,4198,0.41576348196676394
84,boston,MIT Pacific St at Purrington St,Lower Cambridgeport at Magazine St / Riverside Rd,4125,0.6640224523006077
85,boston,Lafayette Square at Mass Ave / Main St / Columbia St,MIT Pacific St at Purrington St,4058,0.27112630576311947
86,boston,MIT at Mass Ave / Amherst St,Deerfield St at Commonwealth Ave,4044,0.6483430418770979
87,boston,MIT Stata Center at Vassar St / Main St,Nashua Street at Red Auerbach Way,4038,1.4000022825638385
88,boston,MIT at Mass Ave / Amherst St,Boylston St at Massachusetts Ave,4037,0.8167658546889234
89,boston,Harvard Square at Mass Ave/ Dunster,Central Square at Mass Ave / Essex St,4003,0.9735729526644725
90,boston,MIT Vassar St,Lower Cambridgeport at Magazine St / Riverside Rd,3989,0.5202994059523514
91,boston,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,MIT Stata Center at Vassar St / Main St,3987,0.796007190485094
92,boston,Lower Cambridgeport at Magazine St / Riverside Rd,Central Square at Mass Ave / Essex St,3974,0.7731197681921608
93,boston,MIT at Mass Ave / Amherst St,Christian Science Plaza - Massachusetts Ave at Westland Ave,3950,1.0654112770945283
94,boston,Back Bay T Stop - Dartmouth St at Stuart St,Washington St at Rutland St,3949,0.6724063019435237
95,boston,Aquarium T Stop - 200 Atlantic Ave,Aquarium T Stop - 200 Atlantic Ave,3877,0.0
96,boston,Kendall T,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,3864,0.5359969474590166
97,boston,Tremont St at West St,Tremont St at West St,3844,0.0
98,boston,Harvard Kennedy School at Bennett St / Eliot St,175 N Harvard St,3833,0.6774688409898344
99,boston,Deerfield St at Commonwealth Ave,Commonwealth Ave at Agganis Way,3821,1.1274161051903155
100,nyc,Central Park S & 6 Ave,Central Park S & 6 Ave,38950,2.6756489928449287e-05
101,nyc,West Drive & Prospect Park West,West Drive & Prospect Park West,30799,2.892194592288731e-05
102,nyc,Hamilton Park,Grove St PATH,27816,0.5558148090357937
103,nyc,Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,24841,3.410218230071464e-05
104,nyc,W 21 St & 6 Ave,9 Ave & W 22 St,23554,0.48528464583935543
105,nyc,12 Ave & W 40 St,West St & Chambers St,22869,3.037448892305909
106,nyc,E 7 St & Avenue A,Cooper Square & Astor Pl,22277,0.43019561179496346
107,nyc,12 Ave & W 40 St,12 Ave & W 40 St,21605,3.5678012170253594e-05
108,nyc,Central Park S & 6 Ave,5 Ave & E 88 St,21368,1.4808472632026095
109,nyc,Grove St PATH,Hamilton Park,20335,0.55588108465106
110,nyc,Centre St & Chambers St,Centre St & Chambers St,19986,4.554148646264586e-05
111,nyc,Pier 40 - Hudson River Park,West St & Chambers St,19793,0.7087253236650763
112,nyc,Central Park West & W 72 St,Central Park West & W 72 St,19642,6.551377473863534e-05
113,nyc,Soissons Landing,Soissons Landing,19476,5.77246164698726e-05
114,nyc,12 Ave & W 40 St,Pier 40 - Hudson River Park,18410,2.331471576216179
115,nyc,N 6 St & Bedford Ave,S 4 St & Wythe Ave,18269,0.5011095497445655
116,nyc,West St & Chambers St,Pier 40 - Hudson River Park,18227,0.7087146502986533
117,nyc,1 Ave & E 62 St,1 Ave & E 68 St,18080,0.2980854520777748
118,nyc,West St & Chambers St,West St & Chambers St,17973,3.622618529352324e-05
119,nyc,Yankee Ferry Terminal,Yankee Ferry Terminal,17871,4.4710805041392304e-05
120,nyc,West St & Chambers St,12 Ave & W 40 St,17766,3.0395035612539663
121,nyc,S 4 St & Wythe Ave,N 6 St & Bedford Ave,17549,0.5011393957247677
122,nyc,7 Ave & Central Park South,7 Ave & Central Park South,17136,6.48880870965398e-05
123,nyc,W 22 St & 10 Ave,W 22 St & 8 Ave,16963,0.3187992333543038
124,nyc,Central Park North & Adam Clayton Powell Blvd,Central Park North & Adam Clayton Powell Blvd,16938,0.0
125,nyc,Pershing Square North,W 33 St & 7 Ave,16915,0.7035160339635675
126,nyc,Broadway & W 60 St,Broadway & W 60 St,16910,0.0
127,nyc,Liberty Light Rail,Liberty Light Rail,16506,0.0
128,nyc,Central Park West & W 68 St,Central Park West & W 68 St,16369,4.140178771589737e-05
129,nyc,Yankee Ferry Terminal,Soissons Landing,15784,0.38463772396602225
130,nyc,Soissons Landing,Yankee Ferry Terminal,15619,0.3846190345571184
