round_trip_count,trip_count,start_year,start_month,city
21073,1029491,2016,4,nyc
45659,1960698,2019,5,nyc
6337,111073,2021,2,sf
997,44991,2016,12,boston
981,55072,2017,12,boston
4374,224736,2014,2,nyc
9502,205359,2018,6,boston
18436,1036710,2018,12,nyc
4445,285552,2015,1,nyc
0,222570,"","",sf
12037,363185,2019,9,boston
4100,182163,2019,5,sf
4745,424789,2020,2,sf
3601,71805,2021,1,boston
7228,175833,2017,7,boston
31969,1549234,2017,5,nyc
28092,843417,2013,7,nyc
57718,692030,2020,4,nyc
9915,213922,2021,7,sf
32857,1179044,2015,8,nyc
12198,138522,2020,5,sf
2225,81961,2018,12,boston
94173,2292406,2020,10,nyc
7702,305504,2019,10,boston
43001,1851970,2017,8,nyc
2631,106718,2018,2,sf
128402,2091443,2021,4,nyc
19601,1218774,2016,11,nyc
5541,160065,2015,8,boston
10726,155248,2020,7,sf
3693,74002,2020,12,boston
14978,993781,2018,3,nyc
5095,165690,2016,9,boston
106,4020,2015,2,boston
3744,98558,2017,9,sf
142,7840,2015,1,boston
2362,44073,2017,7,sf
17292,270893,2021,5,boston
196146,3248945,2021,6,nyc
5716,179125,2018,5,sf
9838,152690,2020,8,sf
3100,121419,2018,11,boston
40672,1799150,2019,4,nyc
4220,131169,2018,4,sf
25137,259726,2020,7,boston
1390,62817,2018,2,boston
12534,805673,2017,2,nyc
4027,185496,2019,11,sf
5295,239895,2019,10,sf
6916,178865,2018,5,boston
5219,164667,2016,6,boston
9646,161712,2020,11,boston
9,94,"","",boston
12055,827306,2016,12,nyc
2207,94802,2018,1,sf
2953,111382,2018,3,sf
2785,133235,2020,2,boston
36343,1682281,2016,9,nyc
4293,129260,2016,5,boston
3459,137865,2016,10,boston
8025,569124,2016,2,nyc
45218,1769172,2017,7,nyc
34430,1932511,2017,10,nyc
4193,190759,2019,11,boston
6804,186217,2018,9,sf
15534,962309,2019,2,nyc
6477,175321,2015,7,boston
1291,48916,2015,12,boston
120745,1512967,2020,5,nyc
8207,86151,2020,4,sf
9803,138952,2021,3,boston
48347,1955893,2018,7,nyc
39120,1106970,2021,1,nyc
39358,1763654,2017,6,nyc
31484,1001958,2013,8,nyc
5595,210563,2019,8,sf
16102,933432,2016,3,nyc
40691,1086176,2020,3,nyc
127818,2144488,2020,7,nyc
5981,239111,2019,4,sf
14525,248424,2020,10,boston
22682,124879,2020,5,boston
1436,62985,2018,3,boston
17493,309403,2021,7,boston
24994,866117,2014,5,nyc
14218,815963,2015,12,nyc
32384,1484265,2016,6,nyc
18457,311969,2021,6,boston
30075,963489,2014,8,nyc
7114,516957,2016,1,nyc
10580,739866,2017,3,nyc
691,31253,2017,3,boston
23624,577702,2013,6,nyc
4666,300400,2014,1,nyc
18728,432254,2021,9,boston
26560,1034359,2013,9,nyc
148797,3158001,2021,10,nyc
2063,88735,2015,11,boston
15134,652390,2015,4,nyc
38700,1911217,2017,9,nyc
7063,131960,2021,3,sf
9657,236182,2018,9,boston
61563,2392935,2019,8,nyc
7710,443966,2013,12,nyc
58260,2224810,2019,7,nyc
1839,55843,2015,4,boston
18402,404558,2021,10,boston
8822,212512,2021,9,sf
134896,2372781,2020,8,nyc
